id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
3816311,BTCUSDT,240,240,1582920000,1582920000,53.238,8587.5,8777.5,8587.5,8777.5,467296.545
3817061,BTCUSDT,240,240,1582934400,1582934400,0.0,8777.5,8777.5,8777.5,8777.5,0.0
3817463,BTCUSDT,240,240,1582948800,1582948800,0.001,8777.5,8777.5,8756.5,8756.5,8.7565
3818555,BTCUSDT,240,240,1582963200,1582963200,0.0,8756.5,8756.5,8756.5,8756.5,0.0
3818954,BTCUSDT,240,240,1582977600,1582977600,0.8,8756.5,8756.5,8603.0,8603.0,6882.4
3820302,BTCUSDT,240,240,1582992000,1582992000,0.0,8603.0,8603.0,8603.0,8603.0,0.0
3820702,BTCUSDT,240,240,1583006400,1583006400,14.335,8603.0,8632.5,8556.5,8556.5,122657.4275
3821955,BTCUSDT,240,240,1583020800,1583020800,144.847,8556.5,8657.0,8527.5,8657.0,1253940.479
3822579,BTCUSDT,240,240,1583035200,1583035200,0.001,8657.0,8657.0,8549.0,8549.0,8.549
3823455,BTCUSDT,240,240,1583049600,1583049600,74.518,8549.0,8635.5,8549.0,8635.5,643500.189
3824357,BTCUSDT,240,240,1583064000,1583064000,158.898,8635.5,8689.5,8563.0,8601.5,1366761.147
3824957,BTCUSDT,240,240,1583078400,1583078400,383.31,8601.5,8601.5,8466.5,8547.0,3276150.57
3825963,BTCUSDT,240,240,1583092800,1583092800,57.21,8547.0,8573.0,8499.5,8573.0,490461.33
3826650,BTCUSDT,240,240,1583107200,1583107200,421.9,8573.0,8625.5,8573.0,8614.0,3634246.6
3827556,BTCUSDT,240,240,1583121600,1583121600,3.49,8614.0,8661.5,8614.0,8661.5,30228.635
3828175,BTCUSDT,240,240,1583136000,1583136000,1.04,8661.5,8674.0,8650.5,8674.0,9020.96
3828896,BTCUSDT,240,240,1583150400,1583150400,208.711,8674.0,8851.5,8674.0,8851.5,1847405.4165
3829813,BTCUSDT,240,240,1583164800,1583164800,10.209,8851.5,8854.0,8851.5,8854.0,90390.486
3830675,BTCUSDT,240,240,1583179200,1583179200,1.0,8854.0,8946.0,8854.0,8946.0,8946.0
3831390,BTCUSDT,240,240,1583193600,1583193600,23.499,8946.0,8946.0,8809.5,8889.0,208882.611
3832373,BTCUSDT,240,240,1583208000,1583208000,33.502,8889.0,8889.0,8772.5,8772.5,293896.295
3833083,BTCUSDT,240,240,1583222400,1583222400,164.005,8772.5,8869.5,8755.5,8866.5,1454150.3325
3833948,BTCUSDT,240,240,1583236800,1583236800,286.201,8866.5,8869.5,8750.0,8750.0,2504258.75
3834706,BTCUSDT,240,240,1583251200,1583251200,86.39,8750.0,8750.0,8672.5,8678.5,749735.615
3835265,BTCUSDT,240,240,1583265600,1583265600,0.0,8678.5,8678.5,8678.5,8678.5,0.0
3835664,BTCUSDT,240,240,1583280000,1583280000,99.3,8678.5,8806.5,8678.5,8799.0,873740.7
3837171,BTCUSDT,240,240,1583294400,1583294400,1.68,8799.0,8829.0,8787.5,8829.0,14832.72
3837946,BTCUSDT,240,240,1583308800,1583308800,3.077,8829.0,8829.0,8703.0,8703.0,26779.131
3838736,BTCUSDT,240,240,1583323200,1583323200,247.881,8703.0,8750.0,8703.0,8750.0,2168958.75
3839521,BTCUSDT,240,240,1583337600,1583337600,0.0,8750.0,8750.0,8750.0,8750.0,0.0
3839921,BTCUSDT,240,240,1583352000,1583352000,0.0,8750.0,8750.0,8750.0,8750.0,0.0
3840320,BTCUSDT,240,240,1583366400,1583366400,68.496,8750.0,8923.5,8750.0,8867.5,607388.28
3841976,BTCUSDT,240,240,1583380800,1583380800,239.466,8867.5,8912.0,8867.5,8911.0,2133881.526
3842777,BTCUSDT,240,240,1583395200,1583395200,17334.21,8911.0,9123.0,8909.5,9123.0,158139997.83
3843476,BTCUSDT,240,240,1583409600,1583409600,2884.498,9123.0,9137.5,9115.0,9115.0,26292199.27
3844237,BTCUSDT,240,240,1583424000,1583424000,2.0,9115.0,9115.0,9115.0,9115.0,18230.0
3844762,BTCUSDT,240,240,1583438400,1583438400,1367.09501963,9115.0,9115.0,8091.5,9061.0,12387247.97286743
3845929,BTCUSDT,240,240,1583452800,1583452800,725.94951182,9061.0,9073.5,8981.0,8981.0,6519752.56565542
3846325,BTCUSDT,240,240,1583467200,1583467200,0.114,8981.0,20001.0,8091.5,20001.0,2280.114
3847149,BTCUSDT,240,240,1583481600,1583481600,201.005,20001.0,20001.0,100.0,100.0,20100.5
3847650,BTCUSDT,240,240,1583496000,1583496000,0.0,100.0,100.0,100.0,100.0,0.0
3848051,BTCUSDT,240,240,1583510400,1583510400,0.0,100.0,100.0,100.0,100.0,0.0
3848451,BTCUSDT,240,240,1583524800,1583524800,0.0,100.0,100.0,100.0,100.0,0.0
3848850,BTCUSDT,240,240,1583539200,1583539200,0.0,100.0,100.0,100.0,100.0,0.0
3849252,BTCUSDT,240,240,1583553600,1583553600,1.0,100.0,8990.5,100.0,8990.5,8990.5
3851903,BTCUSDT,240,240,1583568000,1583568000,3.0,8990.5,8990.5,0.5,8990.5,26971.5
3852502,BTCUSDT,240,240,1583582400,1583582400,0.0,8990.5,8990.5,8990.5,8990.5,0.0
3852903,BTCUSDT,240,240,1583596800,1583596800,0.26041591,8990.5,8990.5,8700.0,8700.0,2265.618417
3854049,BTCUSDT,240,240,1583611200,1583611200,0.0,8700.0,8700.0,8700.0,8700.0,0.0
3854448,BTCUSDT,240,240,1583625600,1583625600,0.73958409,8700.0,8700.0,8700.0,8700.0,6434.381583
3855584,BTCUSDT,240,240,1583640000,1583640000,0.0,8700.0,8700.0,8700.0,8700.0,0.0
3855984,BTCUSDT,240,240,1583654400,1583654400,1.62,8700.0,8700.0,7802.0,7802.0,12639.24
3857151,BTCUSDT,240,240,1583668800,1583668800,0.0,7802.0,7802.0,7802.0,7802.0,0.0
3857552,BTCUSDT,240,240,1583683200,1583683200,0.0,7802.0,7802.0,7802.0,7802.0,0.0
3857952,BTCUSDT,240,240,1583697600,1583697600,0.0,7802.0,7802.0,7802.0,7802.0,0.0
3858351,BTCUSDT,240,240,1583712000,1583712000,0.0,7802.0,7802.0,7802.0,7802.0,0.0
3858754,BTCUSDT,240,240,1583726400,1583726400,21992.91553983,7802.0,8454.0,7042.0,7559.5,166255445.02334487
3861533,BTCUSDT,240,240,1583740800,1583740800,0.12000021,7559.5,7559.5,7317.0,7359.0,883.08154539
3862039,BTCUSDT,240,240,1583755200,1583755200,75109.27564936,7359.0,7838.5,0.5,7743.0,581571121.3529944
3862902,BTCUSDT,240,240,1583769600,1583769600,119.176,7743.0,7881.0,7743.0,7881.0,939226.056
3863433,BTCUSDT,240,240,1583784000,1583784000,0.2,7881.0,7892.5,7881.0,7892.5,1578.5
3864401,BTCUSDT,240,240,1583798400,1583798400,1325.99,7892.5,7932.5,7877.0,7882.0,10451453.18
3865338,BTCUSDT,240,240,1583812800,1583812800,2943.019,7882.0,8368.5,7850.0,7902.5,23257207.6475
3866127,BTCUSDT,240,240,1583827200,1583827200,62031.194,7902.5,9148.5,7800.0,9148.5,567492378.309
3866885,BTCUSDT,240,240,1583841600,1583841600,10696.853,9148.5,9148.5,7840.5,7843.5,83900766.5055
3867665,BTCUSDT,240,240,1583856000,1583856000,3.0,7843.5,7903.5,7842.0,7903.5,23710.5
3868216,BTCUSDT,240,240,1583870400,1583870400,0.0,7903.5,7903.5,7903.5,7903.5,0.0
3868615,BTCUSDT,240,240,1583884800,1583884800,3391.909,7903.5,7967.0,7500.0,7925.0,26880878.825
3870052,BTCUSDT,240,240,1583899200,1583899200,1461.185,7925.0,7944.5,7830.0,7862.0,11487836.47
3870821,BTCUSDT,240,240,1583913600,1583913600,958.733,7862.0,7926.0,7763.5,7830.0,7506879.39
3871601,BTCUSDT,240,240,1583928000,1583928000,794.055,7830.0,7895.0,7755.0,7767.0,6167425.185
3872384,BTCUSDT,240,240,1583942400,1583942400,892.393,7767.0,7839.0,7614.5,7826.0,6983867.618
3873170,BTCUSDT,240,240,1583956800,1583956800,811.958,7826.0,7978.0,7808.0,7929.0,6438014.982
3873951,BTCUSDT,240,240,1583971200,1583971200,8292.067,7929.0,7960.0,5000.0,7666.0,63566985.622
3874711,BTCUSDT,240,240,1583985600,1583985600,23722.067,7666.0,7666.5,7339.0,7388.5,175270492.0295
3875143,BTCUSDT,240,240,1584000000,1584000000,9275.463,7388.5,7460.0,5519.0,6019.0,55829011.797
3875643,BTCUSDT,240,240,1584014400,1584014400,5337.219,6019.0,6262.0,5704.5,6117.5,32650437.2325
3876096,BTCUSDT,240,240,1584028800,1584028800,4725.47,6117.5,6203.5,5948.5,6003.0,28366996.41
3876639,BTCUSDT,240,240,1584043200,1584043200,6543.478,6003.0,6027.0,4442.0,4781.0,31284368.318
3877138,BTCUSDT,240,240,1584057600,1584057600,8367.404,4781.0,5454.0,3777.5,5137.0,42983354.348
3877656,BTCUSDT,240,240,1584072000,1584072000,5172.322,5137.0,5420.0,4677.0,5360.0,27723645.92
3878154,BTCUSDT,240,240,1584086400,1584086400,5496.661,5360.0,5641.0,5102.0,5372.0,29528062.892
3878663,BTCUSDT,240,240,1584100800,1584100800,5359.4,5372.0,5906.5,4907.5,5186.0,27793848.4
3879155,BTCUSDT,240,240,1584115200,1584115200,5570.8,5186.0,5462.0,4800.0,5356.0,29837204.8
3879657,BTCUSDT,240,240,1584129600,1584129600,5235.13,5356.0,5666.5,5230.0,5549.5,29052353.935
3880171,BTCUSDT,240,240,1584144000,1584144000,5168.442,5549.5,5600.5,5293.0,5544.0,28653842.448
3880685,BTCUSDT,240,240,1584158400,1584158400,4444.665,5544.0,5544.0,5364.0,5470.5,24314539.8825
3881209,BTCUSDT,240,240,1584172800,1584172800,5286.428,5470.5,5470.5,5151.0,5422.0,28663012.616
3881715,BTCUSDT,240,240,1584187200,1584187200,5072.32,5422.0,5422.0,5247.0,5290.0,26832572.8
3882218,BTCUSDT,240,240,1584201600,1584201600,5047.72,5290.0,5456.0,5231.5,5353.0,27020445.16
