"open","high","low","close","shifted"
8851.5,8854.0,8851.5,8854.0,8946.0
8772.5,8869.5,8755.5,8866.5,8750.0
8799.0,8829.0,8787.5,8829.0,8703.0
8750.0,8923.5,8750.0,8867.5,8911.0
8911.0,9123.0,8909.5,9123.0,9115.0
20001.0,20001.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0
8990.5,8990.5,8990.5,8990.5,8700.0
8990.5,8990.5,8700.0,8700.0,8700.0
8700.0,8700.0,8700.0,8700.0,8700.0
7802.0,7802.0,7802.0,7802.0,7802.0
6019.0,6262.0,5704.5,6117.5,6003.0
6117.5,6203.5,5948.5,6003.0,4781.0
6003.0,6027.0,4442.0,4781.0,5137.0
5360.0,5641.0,5102.0,5372.0,5186.0
5470.5,5470.5,5151.0,5422.0,5290.0
5290.0,5905.0,5157.0,5341.0,5242.0
5242.0,5268.0,4726.0,4800.5,4542.0
4800.5,4913.0,4000.0,4542.0,5148.0
5299.0,5380.0,5243.0,5363.0,5129.0
5363.0,5399.0,5110.0,5129.0,5108.0
5129.0,5202.0,5001.0,5108.0,5304.0
5108.0,5357.0,5000.5,5304.0,5297.5
5297.5,5378.0,5238.0,5372.0,5256.0
5372.0,5400.5,5220.0,5256.0,5389.0
5389.0,5611.5,5340.5,5586.0,5867.0
5867.0,6307.5,5789.5,6178.0,6139.5
6139.5,6215.5,4621.5,6123.0,6289.5
6123.0,6299.5,6080.0,6289.5,6656.0
6289.5,6901.0,6264.5,6656.0,6605.5
6605.5,6657.0,6185.5,6185.5,6205.5
6249.0,6309.5,6030.0,6149.5,6051.0
9600.0,9600.0,9600.0,9600.0,9600.0
10067.5,10212.5,10039.0,10208.0,10135.0
9603.0,9647.0,9522.0,9568.5,9604.0
9568.5,9615.0,9550.0,9604.0,9579.5
9671.5,9671.5,9574.0,9614.0,9633.5
9614.0,9652.0,9612.5,9633.5,9635.0
9685.0,9746.0,9685.0,9746.0,9891.5
9910.5,9910.5,9868.5,9899.5,9963.0
9164.0,9223.5,9144.0,9157.0,9183.0
9040.0,9040.0,8674.0,8829.0,8793.5
8793.5,8793.5,8547.5,8740.0,8820.5
8850.0,8958.0,8850.0,8904.0,8800.5
8574.0,8706.5,8466.0,8689.0,8587.5
8689.0,8730.5,8498.5,8587.5,8777.5
8657.0,8657.0,8549.0,8549.0,8635.5
8635.5,8689.5,8563.0,8601.5,8547.0
8547.0,8573.0,8499.5,8573.0,8614.0
8674.0,8851.5,8674.0,8851.5,8854.0
8799.0,8829.0,8787.5,8829.0,8703.0
20001.0,20001.0,100.0,100.0,100.0
100.0,8990.5,100.0,8990.5,8990.5
8700.0,8700.0,8700.0,8700.0,8700.0
7802.0,7802.0,7802.0,7802.0,7802.0
7802.0,8454.0,7042.0,7559.5,7359.0
7862.0,7926.0,7763.5,7830.0,7767.0
7830.0,7895.0,7755.0,7767.0,7826.0
7666.0,7666.5,7339.0,7388.5,6019.0
6003.0,6027.0,4442.0,4781.0,5137.0
4781.0,5454.0,3777.5,5137.0,5360.0
