,start_at,volume,open,high,low,close,turnover,year,month,day,hour,weekday
928,1583784000,0.2,7881.0,7892.5,7881.0,7892.5,1578.5,2020,3,10,4,1.0
929,1583798400,1325.99,7892.5,7932.5,7877.0,7882.0,10451453.18,2020,3,10,8,1.0
930,1583812800,2943.019,7882.0,8368.5,7850.0,7902.5,23257207.6475,2020,3,10,12,1.0
931,1583827200,62031.194,7902.5,9148.5,7800.0,9148.5,567492378.309,2020,3,10,16,1.0
932,1583841600,10696.853,9148.5,9148.5,7840.5,7843.5,83900766.5055,2020,3,10,20,1.0
933,1583856000,3.0,7843.5,7903.5,7842.0,7903.5,23710.5,2020,3,11,0,2.0
934,1583870400,0.0,7903.5,7903.5,7903.5,7903.5,0.0,2020,3,11,4,2.0
935,1583884800,3391.909,7903.5,7967.0,7500.0,7925.0,26880878.825,2020,3,11,8,2.0
936,1583899200,1461.185,7925.0,7944.5,7830.0,7862.0,11487836.47,2020,3,11,12,2.0
937,1583913600,958.733,7862.0,7926.0,7763.5,7830.0,7506879.39,2020,3,11,16,2.0
938,1583928000,794.055,7830.0,7895.0,7755.0,7767.0,6167425.185,2020,3,11,20,2.0
939,1583942400,892.393,7767.0,7839.0,7614.5,7826.0,6983867.618,2020,3,12,0,3.0
940,1583956800,811.958,7826.0,7978.0,7808.0,7929.0,6438014.982,2020,3,12,4,3.0
941,1583971200,8292.067,7929.0,7960.0,5000.0,7666.0,63566985.622,2020,3,12,8,3.0
942,1583985600,23722.067,7666.0,7666.5,7339.0,7388.5,175270492.0295,2020,3,12,12,3.0
943,1584000000,9275.463,7388.5,7460.0,5519.0,6019.0,55829011.797,2020,3,12,16,3.0
944,1584014400,5337.219,6019.0,6262.0,5704.5,6117.5,32650437.2325,2020,3,12,20,3.0
945,1584028800,4725.47,6117.5,6203.5,5948.5,6003.0,28366996.41,2020,3,13,0,4.0
946,1584043200,6543.478,6003.0,6027.0,4442.0,4781.0,31284368.318,2020,3,13,4,4.0
947,1584057600,8367.404,4781.0,5454.0,3777.5,5137.0,42983354.348,2020,3,13,8,4.0
948,1584072000,5172.322,5137.0,5420.0,4677.0,5360.0,27723645.92,2020,3,13,12,4.0
949,1584086400,5496.661,5360.0,5641.0,5102.0,5372.0,29528062.892,2020,3,13,16,4.0
950,1584100800,5359.4,5372.0,5906.5,4907.5,5186.0,27793848.4,2020,3,13,20,4.0
951,1584115200,5570.8,5186.0,5462.0,4800.0,5356.0,29837204.8,2020,3,14,0,5.0
952,1584129600,5235.13,5356.0,5666.5,5230.0,5549.5,29052353.935,2020,3,14,4,5.0
953,1584144000,5168.442,5549.5,5600.5,5293.0,5544.0,28653842.448,2020,3,14,8,5.0
954,1584158400,4444.665,5544.0,5544.0,5364.0,5470.5,24314539.8825,2020,3,14,12,5.0
955,1584172800,5286.428,5470.5,5470.5,5151.0,5422.0,28663012.616,2020,3,14,16,5.0
956,1584187200,5072.32,5422.0,5422.0,5247.0,5290.0,26832572.8,2020,3,14,20,5.0
957,1584201600,5047.72,5290.0,5456.0,5231.5,5353.0,27020445.16,2020,3,15,0,6.0
958,1584216000,5094.18,5353.0,5389.0,5047.0,5156.0,26265592.08,2020,3,15,4,6.0
959,1584230400,5058.7,5156.0,5233.0,5068.0,5149.0,26047246.3,2020,3,15,8,6.0
960,1584244800,5055.81,5149.0,5305.0,5149.0,5250.0,26543002.5,2020,3,15,12,6.0
961,1584259200,4575.552,5250.0,5440.5,5181.0,5397.0,24694254.144,2020,3,15,16,6.0
962,1584273600,4988.56,5397.0,5553.5,5226.0,5304.0,26459322.24,2020,3,15,20,6.0
963,1584288000,5091.42,5304.0,5350.0,5223.0,5290.0,26933611.8,2020,3,16,0,0.0
964,1584302400,5314.64,5290.0,5905.0,5157.0,5341.0,28385492.24,2020,3,16,4,0.0
965,1584316800,4880.673,5341.0,5341.0,5159.0,5242.0,25584487.866,2020,3,16,8,0.0
966,1584331200,8519.518,5242.0,5268.0,4726.0,4800.5,40897946.159,2020,3,16,12,0.0
967,1584345600,7977.717,4800.5,4913.0,4000.0,4542.0,36234790.614,2020,3,16,16,0.0
968,1584360000,4390.094,4542.0,20001.0,4497.0,5148.0,22600203.912,2020,3,16,20,0.0
969,1584374400,5124.91,5148.0,5148.0,4807.0,4897.0,25096684.27,2020,3,17,0,1.0
970,1584388800,5101.138,4897.0,5023.5,4810.0,5008.0,25546499.104,2020,3,17,4,1.0
971,1584403200,5271.648,5008.0,5359.0,4896.0,5285.0,27860659.68,2020,3,17,8,1.0
972,1584417600,5011.485,5285.0,5380.0,5187.5,5325.5,26688663.3675,2020,3,17,12,1.0
973,1584432000,4903.152,5325.5,5396.0,5135.0,5236.0,25672903.872,2020,3,17,16,1.0
974,1584446400,7235.633,5236.0,5345.0,5110.0,5338.0,38623808.954,2020,3,17,20,1.0
975,1584460800,5116.98,5338.0,5432.0,5259.0,5345.0,27350258.1,2020,3,18,0,2.0
976,1584475200,5046.582,5345.0,5485.0,5292.0,5299.0,26741838.018,2020,3,18,4,2.0
977,1584489600,6257.955,5299.0,5380.0,5243.0,5363.0,33561412.665,2020,3,18,8,2.0
978,1584504000,5508.646,5363.0,5399.0,5110.0,5129.0,28253845.334,2020,3,18,12,2.0
979,1584518400,4531.727,5129.0,5202.0,5001.0,5108.0,23148061.516,2020,3,18,16,2.0
980,1584532800,5173.609,5108.0,5357.0,5000.5,5304.0,27440822.136,2020,3,18,20,2.0
981,1584547200,5187.73,5304.0,5310.0,5113.0,5297.5,27481999.675,2020,3,19,0,3.0
982,1584561600,4717.92,5297.5,5378.0,5238.0,5372.0,25344666.24,2020,3,19,4,3.0
983,1584576000,5197.191,5372.0,5400.5,5220.0,5256.0,27316435.896,2020,3,19,8,3.0
984,1584590400,11393.405,5256.0,5701.0,5247.5,5389.0,61399059.545,2020,3,19,12,3.0
985,1584604800,4732.004,5389.0,5611.5,5340.5,5586.0,26432974.344,2020,3,19,16,3.0
986,1584619200,4839.348,5586.0,5890.0,5582.0,5867.0,28392454.716,2020,3,19,20,3.0
987,1584633600,5127.33,5867.0,6307.5,5789.5,6178.0,31676644.74,2020,3,20,0,4.0
988,1584648000,5310.502,6178.0,6367.5,6112.5,6139.5,32603827.029,2020,3,20,4,4.0
989,1584662400,6272.952,6139.5,6215.5,4621.5,6123.0,38409285.096,2020,3,20,8,4.0
990,1584676800,5938.253,6123.0,6299.5,6080.0,6289.5,37348642.2435,2020,3,20,12,4.0
991,1584691200,8702.924,6289.5,6901.0,6264.5,6656.0,57926662.144,2020,3,20,16,4.0
992,1584705600,11441.465,6656.0,6705.5,6431.5,6605.5,75576597.0575,2020,3,20,20,4.0
993,1584720000,8420.879,6605.5,6657.0,6185.5,6185.5,52087347.0545,2020,3,21,0,5.0
994,1584734400,8657.739,6185.5,6361.5,5663.0,6205.5,53725599.3645,2020,3,21,4,5.0
995,1584748800,4695.812,6205.5,6369.0,6006.5,6249.0,29344129.188,2020,3,21,8,5.0
996,1584763200,4584.09,6249.0,6309.5,6030.0,6149.5,28189861.455,2020,3,21,12,5.0
997,1584777600,4488.465,6149.5,6180.5,5842.0,6051.0,27159701.715,2020,3,21,16,5.0
998,1584792000,4377.157,6051.0,6213.5,6046.0,6196.0,27120864.772,2020,3,21,20,5.0
999,1584806400,4214.999,6196.0,6209.0,6040.0,6195.5,26114026.3045,2020,3,22,0,6.0
1000,1581940800,1758.816,9000.0,9800.0,9000.0,9612.5,16906618.8,2020,2,17,20,0.0
1001,1581955200,174.072,9612.5,9652.5,9590.0,9597.0,1670568.984,2020,2,18,0,1.0
1002,1581969600,0.0,9597.0,9597.0,9597.0,9597.0,0.0,2020,2,18,4,1.0
