"","id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
"124",3858351,"BTCUSDT",240,240,1583712000,1583712000,0,7802,7802,7802,7802,0,2020,3,9,8,0,7559.5
"125",3858754,"BTCUSDT",240,240,1583726400,1583726400,21992.91553983,7802,8454,7042,7559.5,166255445.023345,2020,3,9,12,0,7359
"126",3861533,"BTCUSDT",240,240,1583740800,1583740800,0.12000021,7559.5,7559.5,7317,7359,883.08154539,2020,3,9,16,0,7743
"127",3862039,"BTCUSDT",240,240,1583755200,1583755200,75109.27564936,7359,7838.5,0.5,7743,581571121.352994,2020,3,9,20,0,7881
"128",3862902,"BTCUSDT",240,240,1583769600,1583769600,119.176,7743,7881,7743,7881,939226.056,2020,3,10,0,1,7892.5
"129",3863433,"BTCUSDT",240,240,1583784000,1583784000,0.2,7881,7892.5,7881,7892.5,1578.5,2020,3,10,4,1,7882
"130",3864401,"BTCUSDT",240,240,1583798400,1583798400,1325.99,7892.5,7932.5,7877,7882,10451453.18,2020,3,10,8,1,7902.5
"131",3865338,"BTCUSDT",240,240,1583812800,1583812800,2943.019,7882,8368.5,7850,7902.5,23257207.6475,2020,3,10,12,1,9148.5
"132",3866127,"BTCUSDT",240,240,1583827200,1583827200,62031.194,7902.5,9148.5,7800,9148.5,567492378.309,2020,3,10,16,1,7843.5
"133",3866885,"BTCUSDT",240,240,1583841600,1583841600,10696.853,9148.5,9148.5,7840.5,7843.5,83900766.5055,2020,3,10,20,1,7903.5
"134",3867665,"BTCUSDT",240,240,1583856000,1583856000,3,7843.5,7903.5,7842,7903.5,23710.5,2020,3,11,0,2,7903.5
"135",3868216,"BTCUSDT",240,240,1583870400,1583870400,0,7903.5,7903.5,7903.5,7903.5,0,2020,3,11,4,2,7925
"136",3868615,"BTCUSDT",240,240,1583884800,1583884800,3391.909,7903.5,7967,7500,7925,26880878.825,2020,3,11,8,2,7862
"137",3870052,"BTCUSDT",240,240,1583899200,1583899200,1461.185,7925,7944.5,7830,7862,11487836.47,2020,3,11,12,2,7830
"138",3870821,"BTCUSDT",240,240,1583913600,1583913600,958.733,7862,7926,7763.5,7830,7506879.39,2020,3,11,16,2,7767
"139",3871601,"BTCUSDT",240,240,1583928000,1583928000,794.055,7830,7895,7755,7767,6167425.185,2020,3,11,20,2,7826
"140",3872384,"BTCUSDT",240,240,1583942400,1583942400,892.393,7767,7839,7614.5,7826,6983867.618,2020,3,12,0,3,7929
"141",3873170,"BTCUSDT",240,240,1583956800,1583956800,811.958,7826,7978,7808,7929,6438014.982,2020,3,12,4,3,7666
"142",3873951,"BTCUSDT",240,240,1583971200,1583971200,8292.067,7929,7960,5000,7666,63566985.622,2020,3,12,8,3,7388.5
"143",3874711,"BTCUSDT",240,240,1583985600,1583985600,23722.067,7666,7666.5,7339,7388.5,175270492.0295,2020,3,12,12,3,6019
